curl-7.34.0;2013-10-17;2
curl-7.45.0;2016-07-28;4
curl 7.54.1;2017-06-14;8
curl 7.55.0;2017-08-09;11
curl 7.55.1;2017-08-13;11
curl 7.56.0;2017-10-04;15
curl 7.56.1;2017-10-23;15
curl 7.57.0;2017-11-29;16
curl 7.58.0;2018-01-23;18
curl 7.59.0;2018-03-13;19
curl 7.60.0;2018-05-15;22
curl 7.61.0;2018-07-11;23
curl 7.61.1;2018-09-04;23
curl 7.62.0;2018-10-30;26
curl 7.63.0;2018-12-12;27
curl 7.64.0;2019-02-06;28
curl 7.64.1;2019-03-27;42
curl 7.65.0;2019-05-22;43
curl 7.65.1;2019-06-04;44
curl 7.65.2;2019-07-17;43
curl 7.65.3;2019-07-19;43
curl 7.66.0;2019-09-10;44
curl 7.67.0;2019-11-05;55
curl 7.68.0;2020-01-08;61
curl 7.69.0;2020-03-04;72
