Date;Commit;Daniel;Everyone else
2000-01-16;10;100.00;0.00
2000-01-31;20;100.00;0.00
2000-02-01;30;100.00;0.00
2000-02-14;40;100.00;0.00
2000-02-15;50;100.00;0.00
2000-02-21;60;100.00;0.00
2000-03-01;70;100.00;0.00
2000-03-02;80;100.00;0.00
2000-03-13;90;100.00;0.00
2000-03-16;100;100.00;0.00
2000-03-19;110;100.00;0.00
2000-03-20;120;100.00;0.00
2000-03-23;130;100.00;0.00
2000-04-04;140;100.00;0.00
2000-04-11;150;100.00;0.00
2000-05-14;160;100.00;0.00
2000-05-22;170;100.00;0.00
2000-05-25;180;100.00;0.00
2000-05-29;190;100.00;0.00
2000-06-02;200;100.00;0.00
2000-06-02;210;100.00;0.00
2000-06-08;220;100.00;0.00
2000-06-09;230;100.00;0.00
2000-06-14;240;100.00;0.00
2000-06-16;250;100.00;0.00
2000-06-20;260;100.00;0.00
2000-07-25;270;100.00;0.00
2000-07-25;280;100.00;0.00
2000-07-28;290;100.00;0.00
2000-07-31;300;100.00;0.00
2000-08-04;310;100.00;0.00
2000-08-15;320;100.00;0.00
2000-08-21;330;100.00;0.00
2000-08-24;340;100.00;0.00
2000-08-30;350;100.00;0.00
2000-09-14;360;100.00;0.00
2000-09-18;370;100.00;0.00
2000-09-21;380;100.00;0.00
2000-09-25;390;100.00;0.00
2000-09-26;400;100.00;0.00
2000-10-02;410;100.00;0.00
2000-10-03;420;100.00;0.00
2000-10-04;430;100.00;0.00
2000-10-09;440;100.00;0.00
2000-10-11;450;100.00;0.00
2000-10-17;460;100.00;0.00
2000-10-26;470;100.00;0.00
2000-10-30;480;100.00;0.00
2000-11-06;490;100.00;0.00
2000-11-07;500;100.00;0.00
2000-11-10;510;100.00;0.00
2000-11-13;520;100.00;0.00
2000-11-13;530;100.00;0.00
2000-11-14;540;100.00;0.00
2000-11-16;550;100.00;0.00
2000-11-17;560;100.00;0.00
2000-11-17;570;100.00;0.00
2000-11-20;580;100.00;0.00
2000-11-21;590;100.00;0.00
2000-11-21;600;100.00;0.00
2000-11-21;610;100.00;0.00
2000-11-22;620;100.00;0.00
2000-11-22;630;100.00;0.00
2000-11-27;640;100.00;0.00
2000-11-27;650;100.00;0.00
2000-11-29;660;100.00;0.00
2000-11-30;670;100.00;0.00
2000-12-07;680;100.00;0.00
2000-12-12;690;100.00;0.00
2000-12-19;700;100.00;0.00
2000-12-30;710;100.00;0.00
2001-01-04;720;100.00;0.00
2001-01-05;730;100.00;0.00
2001-01-08;740;100.00;0.00
2001-01-08;750;100.00;0.00
2001-01-09;760;100.00;0.00
2001-01-11;770;100.00;0.00
2001-01-17;780;100.00;0.00
2001-01-19;790;100.00;0.00
2001-01-22;800;100.00;0.00
2001-01-24;810;100.00;0.00
2001-01-25;820;100.00;0.00
2001-01-26;830;100.00;0.00
2001-01-27;840;100.00;0.00
2001-01-29;850;100.00;0.00
2001-02-01;860;100.00;0.00
2001-02-05;870;100.00;0.00
2001-02-08;880;100.00;0.00
2001-02-13;890;100.00;0.00
2001-02-19;900;100.00;0.00
2001-02-20;910;100.00;0.00
2001-03-02;920;100.00;0.00
2001-03-04;930;100.00;0.00
2001-03-05;940;100.00;0.00
2001-03-07;950;100.00;0.00
2001-03-08;960;100.00;0.00
2001-03-09;970;100.00;0.00
2001-03-09;980;100.00;0.00
2001-03-12;990;100.00;0.00
2001-03-12;1000;100.00;0.00
2001-03-12;1010;100.00;0.00
2001-03-13;1020;100.00;0.00
2001-03-13;1030;100.00;0.00
2001-03-14;1040;100.00;0.00
2001-03-14;1050;100.00;0.00
2001-03-14;1060;100.00;0.00
2001-03-15;1070;100.00;0.00
2001-03-16;1080;100.00;0.00
2001-03-16;1090;100.00;0.00
2001-03-22;1100;100.00;0.00
2001-03-22;1110;100.00;0.00
2001-03-23;1120;100.00;0.00
2001-03-27;1130;100.00;0.00
2001-03-30;1140;100.00;0.00
2001-04-07;1150;100.00;0.00
2001-04-10;1160;100.00;0.00
2001-04-12;1170;100.00;0.00
2001-04-18;1180;100.00;0.00
2001-04-19;1190;100.00;0.00
2001-04-22;1200;100.00;0.00
2001-04-23;1210;100.00;0.00
2001-04-23;1220;100.00;0.00
2001-04-25;1230;100.00;0.00
2001-05-03;1240;100.00;0.00
2001-05-07;1250;100.00;0.00
2001-05-10;1260;100.00;0.00
2001-05-12;1270;100.00;0.00
2001-05-15;1280;100.00;0.00
2001-05-18;1290;100.00;0.00
2001-05-22;1300;100.00;0.00
2001-05-28;1310;100.00;0.00
2001-05-28;1320;100.00;0.00
2001-05-29;1330;100.00;0.00
2001-05-29;1340;100.00;0.00
2001-05-30;1350;99.93;0.07
2001-05-31;1360;99.93;0.07
2001-05-31;1370;99.64;0.36
2001-06-01;1380;99.28;0.72
2001-06-07;1390;99.21;0.79
2001-06-14;1400;99.21;0.79
2001-06-21;1410;99.22;0.78
2001-06-29;1420;99.23;0.77
2001-08-02;1430;99.09;0.91
2001-08-03;1440;99.03;0.97
2001-08-06;1450;99.03;0.97
2001-08-06;1460;99.04;0.96
2001-08-07;1470;99.05;0.95
