curl 4.0;1998-03-20;2200
curl 4.8;1998-08-27;3274
curl 5.9;1999-05-22;13202
curl 6.0;1999-09-14;15052
curl 6.5;2000-03-14;19180;
curl 6.5.1;2000-03-21;19163;
curl 6.5.2;2000-03-21;19229;
curl 7.1.1;2000-08-21;21314;
curl 7.2;2000-08-30;21487;
curl 7.3;2000-09-28;23375;
curl 7.4.1;2000-10-16;24151;
curl 7.5;2000-12-04;24661;
curl 7.5.2;2001-01-05;24043;
curl 7.6;2001-01-27;22387;
curl 7.6.1;2001-02-13;22853;
curl 7.7;2001-03-22;24564;
curl 7.7.1;2001-04-04;24650;
curl 7.7.2;2001-04-23;24790;
curl 7.7.3;2001-05-07;24981;
curl 7.8;2001-06-07;27477;
curl 7.8.1;2001-08-20;27499;
curl 7.9;2001-09-25;29136;
curl 7.9.1;2001-11-04;30440;
curl 7.9.2;2001-12-05;31175;
curl 7.9.3;2002-01-23;32793;
curl 7.9.4;2002-02-05;32864;
curl 7.9.5;2002-03-07;33725;
curl 7.9.6;2002-04-15;35120;
curl 7.9.7;2002-05-13;35675;
curl 7.9.8;2002-06-13;36168;
curl 7.10;2002-10-01;42239;
curl 7.10.1;2002-10-11;42331;
curl 7.10.2;2002-11-18;42572;
curl 7.10.3;2003-01-14;43052;
curl 7.10.4;2003-04-02;41069;
curl 7.10.5;2003-05-19;41668;
curl 7.10.6;2003-07-28;44786;
curl 7.10.7;2003-08-15;45803;
curl 7.10.8;2003-11-01;46999;
curl 7.11.0;2004-01-22;48575;
curl 7.11.1;2004-03-18;51618;
curl 7.11.2;2004-04-26;52581;
curl 7.12.0;2004-06-02;55038;
curl 7.12.1;2004-08-10;54957;
curl 7.12.2;2004-10-18;52636;
curl 7.12.3;2004-12-20;54468;
curl 7.13.0;2005-02-01;55395;
curl 7.13.1;2005-03-04;56796;
curl 7.13.2;2005-04-05;56734;
curl 7.14.0;2005-05-16;58090;
curl 7.14.1;2005-09-01;58734;
curl 7.15.0;2005-10-13;59651;
curl 7.15.1;2005-12-06;60086;
curl 7.15.2;2006-02-27;60672;
curl 7.15.3;2006-03-20;60708;
curl 7.15.4;2006-06-12;64147;
curl 7.15.5;2006-08-07;65180;
curl 7.16.0;2006-10-29;66669;
curl 7.16.1;2007-01-29;69071;
curl 7.16.2;2007-04-11;71248;
curl 7.16.3;2007-06-25;72551;
curl 7.16.4;2007-07-10;73299;
curl 7.17.0;2007-09-13;75113;
curl 7.17.1;2007-10-29;76485;
curl 7.18.0;2008-01-28;77564;
curl 7.18.1;2008-03-30;74217;
curl 7.18.2;2008-06-04;75558;
curl 7.19.0;2008-09-01;78342;
curl 7.19.1;2008-11-05;79763;
curl 7.19.2;2008-11-13;79712;
curl 7.19.3;2009-01-19;80063;
curl 7.19.4;2009-03-02;82236;
curl 7.19.5;2009-05-18;84010;
curl 7.19.6;2009-08-12;85947;
curl 7.19.7;2009-11-04;86837;
curl 7.20.0;2010-02-09;92704;
curl 7.20.1;2010-04-14;93325;
curl 7.21.0;2010-06-16;98038;
curl 7.21.1;2010-08-11;98520;
curl 7.21.2;2010-10-12;99586;
curl 7.21.3;2010-12-15;100219;
curl 7.21.4;2011-02-17;101846;
curl 7.21.5;2011-04-17;103206;
